win%,k/d,dmg/rnd,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,rank_Ascendant,rank_Bronze,rank_Diamond,rank_Gold,rank_Immortal,rank_Iron,rank_Platinum,rank_Radiant,rank_Silver,rank_Unranked,performance,skill,consistency,dmg_indicator
53.6,0.56,0.5474999999999999,0.12,0.515625,0.1242857142857142,0.1080833333333333,0.64,False,False,False,False,False,False,True,False,False,False,0.4048021346469622,0.3527999999999999,0.5043103448275862,0.4131333333333333
42.9,0.49,0.4208333333333333,0.0451851851851851,0.365625,0.0428571428571428,0.035875,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.5848347034796547,0.9072,0.5255157437567861,0.5163666666666666
45.0,0.395,0.2683333333333333,0.3762962962962963,0.465625,0.35,0.2640833333333333,0.48,False,True,False,False,False,False,False,False,False,False,0.6728854854326203,0.5571999999999999,0.5064695009242144,0.5966333333333333
51.4,0.365,0.1799999999999999,0.3755555555555555,0.615625,0.3571428571428571,0.2739583333333333,0.48,False,False,False,True,False,False,False,False,False,False,0.1927193362193362,0.56,0.5075757575757576,0.2642333333333333
41.7,0.62,0.5683333333333332,0.1866666666666666,0.328125,0.17,0.1406666666666666,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.6012487254582927,0.308,0.4806378132118451,0.5765333333333333
50.0,0.535,0.475,0.1622222222222222,0.434375,0.1542857142857142,0.1279583333333333,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,0.3221710914454276,0.3984,0.5006321112515802,0.3584
52.0,0.63,0.5950000000000001,0.3288888888888889,0.5625,0.3,0.2880833333333333,0.64,False,False,False,False,False,False,True,False,False,False,0.6688030888030887,0.5760000000000001,0.4729729729729729,0.6358666666666667
52.0,0.53,0.5508333333333333,0.2962962962962963,0.715625,0.2757142857142857,0.2474583333333333,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.522943164362519,0.6112000000000001,0.521505376344086,0.4787999999999999
48.5,0.555,0.5416666666666666,0.1844444444444444,0.36875,0.1657142857142857,0.153625,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.3345472432875589,0.5088,0.5222381635581061,0.3518666666666666
40.0,0.56,0.5458333333333333,0.6614814814814814,0.65625,0.6214285714285714,0.61425,0.64,True,False,False,False,False,False,False,False,False,False,0.5925824935783441,0.4032,0.5103734439834025,0.537
33.3,0.525,0.5633333333333332,0.2051851851851852,0.5,0.19,0.1849583333333333,0.64,False,False,False,True,False,False,False,False,False,False,0.6937879875568318,0.4864,0.5527638190954773,0.5599
70.8,0.56,0.5608333333333334,0.0385185185185185,0.43125,0.04,0.031625,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.6260989729225024,0.5328,0.4509803921568627,0.6337333333333334
55.0,0.67,0.7525000000000001,0.1718518518518518,0.603125,0.18,0.1807083333333333,0.72,False,False,False,False,False,False,True,False,False,False,0.5940616690240452,0.7104,0.502970297029703,0.5459333333333334
33.3,0.55,0.5241666666666667,0.037037037037037,0.31875,0.0342857142857142,0.0305,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.4546311111111111,0.6132,0.5066666666666667,0.4456333333333333
73.3,0.48,0.3966666666666666,0.0466666666666666,0.453125,0.0471428571428571,0.034625,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.4445429178040643,0.6944,0.5031847133757962,0.4417
62.0,0.72,0.7583333333333333,0.0481481481481481,0.61875,0.0557142857142857,0.0502083333333333,0.72,False,False,False,False,False,False,True,False,False,False,0.3512380952380952,0.4968,0.4736842105263157,0.4002666666666666
